scientificname,butterflycolors,countriesoforigin,booktitle,creator,objectid,filename,format,location,latitude,longitude,source,title,type,language,rights,description
Papilionidae,yellow; black,Britain,Beautiful butterflies : the British species described and illustrated with an introductory chapter containing the history of a butterfly through all its changes and transformations...,H.G. Adams,coll001,file001.Jpeg,image/jpg,"Bloomington, IN",39.1653,-86.5264,Lilly Library,Swallow tail,Image;StillImage,eng,"Copyright belongs to the authors of the materials from which the data and images derive, all of which are now in the public domain. For other
 uses beyond free use, please contact the Lilly Library at Indiana University.","An image of Papilionidae, also known as the swallow tail butterfly."
Melanargia galathea,yellow; blue; red; black,Britain,Beautiful butterflies : the British species described and illustrated with an introductory chapter containing the history of a butterfly through all its changes and transformations...,H.G. Adams,coll002,file002.Jpeg,image/jpg,"Bloomington, IN",39.1653,-86.5264,Lilly Library,Marbled white,Image;StillImage,eng,"Copyright belongs to the authors of the materials from which the data and images derive, all of which are now in the public domain. For other
 uses beyond free use, please contact the Lilly Library at Indiana University.","An image of Melanargia galathea, also known as the marbled white butterfly."
Erebia aethiops,brown; orange; red,Britain,Beautiful butterflies : the British species described and illustrated with an introductory chapter containing the history of a butterfly through all its changes and transformations...,H.G. Adams,coll003,file003.Jpeg,image/jpg,"Bloomington, IN",39.1653,-86.5264,Lilly Library,Scotch argus,Image;StillImage,eng,"Copyright belongs to the authors of the materials from which the data and images derive, all of which are now in the public domain. For other
 uses beyond free use, please contact the Lilly Library at Indiana University.","An image of Erebia aethiops, also known as the scotch argus butterfly."
Limenitis camilla,white; orange; brown,Britain,Beautiful butterflies : the British species described and illustrated with an introductory chapter containing the history of a butterfly through all its changes and transformations...,H.G. Adams,coll004,file004.Jpeg,image/jpg,"Bloomington, IN",39.1653,-86.5264,Lilly Library,White admiral,Image;StillImage,eng,"Copyright belongs to the authors of the materials from which the data and images derive, all of which are now in the public domain. For other
 uses beyond free use, please contact the Lilly Library at Indiana University.","An image of Limenitis camilla, also known as the white admiral butterfly."
Aglais io,red; blue; yellow; white; brown; orange,Britain,Beautiful butterflies : the British species described and illustrated with an introductory chapter containing the history of a butterfly through all its changes and transformations...,H.G. Adams,coll005,file005.Jpeg,image/jpg,"Bloomington, IN",39.1653,-86.5264,Lilly Library,Peacock butterfly,Image;StillImage,eng,"Copyright belongs to the authors of the materials from which the data and images derive, all of which are now in the public domain. For other
 uses beyond free use, please contact the Lilly Library at Indiana University.","An image of Aglais io, also known as the peacock butterfly."
Aglais urticae,orange; white; brown; black,Britain,Beautiful butterflies : the British species described and illustrated with an introductory chapter containing the history of a butterfly through all its changes and transformations...,H.G. Adams,coll006,file006.Jpeg,image/jpg,"Bloomington, IN",39.1653,-86.5264,Lilly Library,Small tortoise shell,Image;StillImage,eng,"Copyright belongs to the authors of the materials from which the data and images derive, all of which are now in the public domain. For other
 uses beyond free use, please contact the Lilly Library at Indiana University.","An image of Aglais urticae, also known as the small tortoise shell butterfly."
Nymphalis antiopa,red; yellow; blue; black; brown,Britain,Beautiful butterflies : the British species described and illustrated with an introductory chapter containing the history of a butterfly through all its changes and transformations...,H.G. Adams,coll007,file007.Jpeg,image/jpg,"Bloomington, IN",39.1653,-86.5264,Lilly Library,Camberwell beauty,Image;StillImage,eng,"Copyright belongs to the authors of the materials from which the data and images derive, all of which are now in the public domain. For other
 uses beyond free use, please contact the Lilly Library at Indiana University.","An image of Nymphalis antiopa, also known as the camberwell beauty butterfly."
Melitaea artemis,orange; yellow; black; white,Britain,Beautiful butterflies : the British species described and illustrated with an introductory chapter containing the history of a butterfly through all its changes and transformations...,H.G. Adams,coll008,file008.Jpeg,image/jpg,"Bloomington, IN",39.1653,-86.5264,Lilly Library,Greasy fritillary,Image;StillImage,eng,"Copyright belongs to the authors of the materials from which the data and images derive, all of which are now in the public domain. For other
 uses beyond free use, please contact the Lilly Library at Indiana University.","An image of Melitaea artemis, also known as the greasy fritillary butterfly."
Melitaea cinxia,orange; white; black,Britain,Beautiful butterflies : the British species described and illustrated with an introductory chapter containing the history of a butterfly through all its changes and transformations...,H.G. Adams,coll009,file009.Jpeg,image/jpg,"Bloomington, IN",39.1653,-86.5264,Lilly Library,Glanville fritillary,Image;StillImage,eng,"Copyright belongs to the authors of the materials from which the data and images derive, all of which are now in the public domain. For other
 uses beyond free use, please contact the Lilly Library at Indiana University.","An image of Melitaea cinxia, also known as the glanville fritillary butterfly."
Boloria euphrosyne,orange; black; brown,Britain,Beautiful butterflies : the British species described and illustrated with an introductory chapter containing the history of a butterfly through all its changes and transformations...,H.G. Adams,coll010,file010.Jpeg,image/jpg,"Bloomington, IN",39.1653,-86.5264,Lilly Library,Pearl-Bordered fritillary,Image;StillImage,eng,"Copyright belongs to the authors of the materials from which the data and images derive, all of which are now in the public domain. For other
 uses beyond free use, please contact the Lilly Library at Indiana University.","An image of Boloria euphrosyne, also known as the pearl-border fritillary butterfly."
